Date,TemperatureRessentie
2024-11-06,21.18
2024-11-06,22.38
2024-11-06,26.03
2024-11-06,21.53
2024-11-06,19.02
2024-11-06,21.85
2024-11-06,26.65
2024-11-06,31.1
2024-11-06,36.87
2024-11-06,39.42
2024-11-06,37.3
2024-11-06,37.37
2024-11-06,39.35
2024-11-06,39.99
2024-11-06,38.8
2024-11-06,36.78
2024-11-06,34.29
2024-11-06,30.72
2024-11-06,27.0
2024-11-06,28.73
2024-11-06,32.59
2024-11-06,35.42
2024-11-06,35.38
2024-11-06,35.55
2024-11-07,35.37
2024-11-07,34.81
2024-11-07,34.54
2024-11-07,35.09
2024-11-07,34.85
2024-11-07,32.28
2024-11-07,35.16
2024-11-07,38.2
2024-11-07,42.69
2024-11-07,42.46
2024-11-07,38.41
2024-11-07,38.05
2024-11-07,37.41
2024-11-07,35.81
2024-11-07,33.86
2024-11-07,30.33
2024-11-07,27.55
2024-11-07,22.89
2024-11-07,14.68
2024-11-07,11.85
2024-11-07,16.89
2024-11-07,27.47
2024-11-07,33.82
2024-11-07,34.52
2024-11-08,32.64
2024-11-08,30.47
2024-11-08,32.21
2024-11-08,34.07
2024-11-08,34.39
2024-11-08,36.21
2024-11-08,37.97
2024-11-08,41.24
2024-11-08,49.04
2024-11-08,49.98
2024-11-08,45.4
2024-11-08,43.41
2024-11-08,43.18
2024-11-08,42.17
2024-11-08,37.53
2024-11-08,31.61
2024-11-08,26.56
2024-11-08,22.44
2024-11-08,19.13
2024-11-08,22.61
2024-11-08,30.32
2024-11-08,33.44
2024-11-08,36.3
2024-11-08,36.29
2024-11-09,33.28
2024-11-09,32.3
2024-11-09,34.08
2024-11-09,33.86
2024-11-09,33.92
2024-11-09,31.96
2024-11-09,35.57
2024-11-09,42.82
2024-11-09,50.07
2024-11-09,51.02
2024-11-09,46.48
2024-11-09,45.48
2024-11-09,45.81
2024-11-09,43.26
2024-11-09,37.52
2024-11-09,34.9
2024-11-09,37.83
2024-11-09,39.39
2024-11-09,36.24
2024-11-09,36.22
2024-11-09,35.89
2024-11-09,35.84
